Report Name:,Custom Statement Tool

Start Date:,="20250101"
End Date:,="20250107"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-06-03,2025-06-09,Account Level Statements,APP,9. Over a minute,23,78%,91,134,168,
2025-06-03,2025-06-09,Account Level Statements,Optima,9. Over a minute,22,0%,98,98,98,
2025-06-03,2025-06-09, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250610"
End Date:,="20250616"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-06-10,2025-06-16,Account Level Statements,APP,1. less than 5 secs,461,9%,4,5,5,
2025-06-10,2025-06-16,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-06-10,2025-06-16,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-06-10,2025-06-16,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-06-10,2025-06-16,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-06-10,2025-06-16,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-06-10,2025-06-16,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-06-10,2025-06-16,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-06-10,2025-06-16,Account Level Statements,APP,9. Over a minute,15,78%,91,134,168,
2025-06-10,2025-06-16,Account Level Statements,Optima,9. Over a minute,26,0%,98,98,98,
2025-06-10,2025-06-16, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250617"
End Date:,="20250623"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-06-17,2025-06-23,Account Level Statements,APP,1. less than 5 secs,403,9%,4,5,5,
2025-06-17,2025-06-23,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-06-17,2025-06-23,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-06-17,2025-06-23,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-06-17,2025-06-23,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-06-17,2025-06-23,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-06-17,2025-06-23,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-06-17,2025-06-23,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-06-17,2025-06-23,Account Level Statements,APP,9. Over a minute,29,78%,91,134,168,
2025-06-17,2025-06-23,Account Level Statements,Optima,9. Over a minute,11,0%,98,98,98,
2025-06-17,2025-06-23, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250624"
End Date:,="20250630"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-06-24,2025-06-30,Account Level Statements,APP,1. less than 5 secs,431,9%,4,5,5,
2025-06-24,2025-06-30,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-06-24,2025-06-30,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-06-24,2025-06-30,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-06-24,2025-06-30,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-06-24,2025-06-30,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-06-24,2025-06-30,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-06-24,2025-06-30,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-06-24,2025-06-30,Account Level Statements,APP,9. Over a minute,18,78%,91,134,168,
2025-06-24,2025-06-30,Account Level Statements,Optima,9. Over a minute,26,0%,98,98,98,
2025-06-24,2025-06-30, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250701"
End Date:,="20250707"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-07-01,2025-07-07,Account Level Statements,APP,1. less than 5 secs,460,9%,4,5,5,
2025-07-01,2025-07-07,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-07-01,2025-07-07,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-07-01,2025-07-07,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-07-01,2025-07-07,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-07-01,2025-07-07,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-07-01,2025-07-07,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-07-01,2025-07-07,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-07-01,2025-07-07,Account Level Statements,APP,9. Over a minute,28,78%,91,134,168,
2025-07-01,2025-07-07,Account Level Statements,Optima,9. Over a minute,23,0%,98,98,98,
2025-07-01,2025-07-07, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250708"
End Date:,="20250714"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-07-08,2025-07-14,Account Level Statements,APP,1. less than 5 secs,478,9%,4,5,5,
2025-07-08,2025-07-14,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-07-08,2025-07-14,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-07-08,2025-07-14,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-07-08,2025-07-14,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-07-08,2025-07-14,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-07-08,2025-07-14,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-07-08,2025-07-14,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-07-08,2025-07-14,Account Level Statements,APP,9. Over a minute,10,78%,91,134,168,
2025-07-08,2025-07-14,Account Level Statements,Optima,9. Over a minute,24,0%,98,98,98,
2025-07-08,2025-07-14, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250715"
End Date:,="20250721"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-07-15,2025-07-21,Account Level Statements,APP,1. less than 5 secs,446,9%,4,5,5,
2025-07-15,2025-07-21,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-07-15,2025-07-21,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-07-15,2025-07-21,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-07-15,2025-07-21,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-07-15,2025-07-21,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-07-15,2025-07-21,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-07-15,2025-07-21,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-07-15,2025-07-21,Account Level Statements,APP,9. Over a minute,19,78%,91,134,168,
2025-07-15,2025-07-21,Account Level Statements,Optima,9. Over a minute,20,0%,98,98,98,
2025-07-15,2025-07-21, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250722"
End Date:,="20250728"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-07-22,2025-07-28,Account Level Statements,APP,1. less than 5 secs,501,9%,4,5,5,
2025-07-22,2025-07-28,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-07-22,2025-07-28,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-07-22,2025-07-28,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-07-22,2025-07-28,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-07-22,2025-07-28,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-07-22,2025-07-28,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-07-22,2025-07-28,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-07-22,2025-07-28,Account Level Statements,APP,9. Over a minute,23,78%,91,134,168,
2025-07-22,2025-07-28,Account Level Statements,Optima,9. Over a minute,10,0%,98,98,98,
2025-07-22,2025-07-28, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250729"
End Date:,="20250804"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-07-29,2025-08-04,Account Level Statements,APP,1. less than 5 secs,484,9%,4,5,5,
2025-07-29,2025-08-04,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-07-29,2025-08-04,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-07-29,2025-08-04,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-07-29,2025-08-04,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-07-29,2025-08-04,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-07-29,2025-08-04,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-07-29,2025-08-04,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-07-29,2025-08-04,Account Level Statements,APP,9. Over a minute,28,78%,91,134,168,
2025-07-29,2025-08-04,Account Level Statements,Optima,9. Over a minute,27,0%,98,98,98,
2025-07-29,2025-08-04, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250805"
End Date:,="20250811"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-08-05,2025-08-11,Account Level Statements,APP,1. less than 5 secs,555,9%,4,5,5,
2025-08-05,2025-08-11,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-08-05,2025-08-11,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-08-05,2025-08-11,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-08-05,2025-08-11,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-08-05,2025-08-11,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-08-05,2025-08-11,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-08-05,2025-08-11,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-08-05,2025-08-11,Account Level Statements,APP,9. Over a minute,17,78%,91,134,168,
2025-08-05,2025-08-11,Account Level Statements,Optima,9. Over a minute,28,0%,98,98,98,
2025-08-05,2025-08-11, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250812"
End Date:,="20250818"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-08-12,2025-08-18,Account Level Statements,APP,1. less than 5 secs,558,9%,4,5,5,
2025-08-12,2025-08-18,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-08-12,2025-08-18,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-08-12,2025-08-18,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-08-12,2025-08-18,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-08-12,2025-08-18,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-08-12,2025-08-18,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-08-12,2025-08-18,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-08-12,2025-08-18,Account Level Statements,APP,9. Over a minute,10,78%,91,134,168,
2025-08-12,2025-08-18,Account Level Statements,Optima,9. Over a minute,24,0%,98,98,98,
2025-08-12,2025-08-18, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250819"
End Date:,="20250825"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-08-19,2025-08-25,Account Level Statements,APP,1. less than 5 secs,491,9%,4,5,5,
2025-08-19,2025-08-25,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-08-19,2025-08-25,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-08-19,2025-08-25,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-08-19,2025-08-25,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-08-19,2025-08-25,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-08-19,2025-08-25,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-08-19,2025-08-25,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-08-19,2025-08-25,Account Level Statements,APP,9. Over a minute,25,78%,91,134,168,
2025-08-19,2025-08-25,Account Level Statements,Optima,9. Over a minute,17,0%,98,98,98,
2025-08-19,2025-08-25, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250826"
End Date:,="20250901"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-08-26,2025-09-01,Account Level Statements,APP,1. less than 5 secs,520,9%,4,5,5,
2025-08-26,2025-09-01,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-08-26,2025-09-01,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-08-26,2025-09-01,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-08-26,2025-09-01,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-08-26,2025-09-01,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-08-26,2025-09-01,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-08-26,2025-09-01,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-08-26,2025-09-01,Account Level Statements,APP,9. Over a minute,10,78%,91,134,168,
2025-08-26,2025-09-01,Account Level Statements,Optima,9. Over a minute,16,0%,98,98,98,
2025-08-26,2025-09-01, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250902"
End Date:,="20250908"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-09-02,2025-09-08,Account Level Statements,APP,1. less than 5 secs,516,9%,4,5,5,
2025-09-02,2025-09-08,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-09-02,2025-09-08,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-09-02,2025-09-08,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-09-02,2025-09-08,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-09-02,2025-09-08,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-09-02,2025-09-08,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-09-02,2025-09-08,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-09-02,2025-09-08,Account Level Statements,APP,9. Over a minute,17,78%,91,134,168,
2025-09-02,2025-09-08,Account Level Statements,Optima,9. Over a minute,20,0%,98,98,98,
2025-09-02,2025-09-08, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250909"
End Date:,="20250915"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-09-09,2025-09-15,Account Level Statements,APP,1. less than 5 secs,439,9%,4,5,5,
2025-09-09,2025-09-15,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-09-09,2025-09-15,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-09-09,2025-09-15,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-09-09,2025-09-15,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-09-09,2025-09-15,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-09-09,2025-09-15,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-09-09,2025-09-15,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-09-09,2025-09-15,Account Level Statements,APP,9. Over a minute,13,78%,91,134,168,
2025-09-09,2025-09-15,Account Level Statements,Optima,9. Over a minute,28,0%,98,98,98,
2025-09-09,2025-09-15, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250916"
End Date:,="20250922"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-09-16,2025-09-22,Account Level Statements,APP,1. less than 5 secs,410,9%,4,5,5,
2025-09-16,2025-09-22,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-09-16,2025-09-22,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-09-16,2025-09-22,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-09-16,2025-09-22,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-09-16,2025-09-22,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-09-16,2025-09-22,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-09-16,2025-09-22,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-09-16,2025-09-22,Account Level Statements,APP,9. Over a minute,28,78%,91,134,168,
2025-09-16,2025-09-22,Account Level Statements,Optima,9. Over a minute,12,0%,98,98,98,
2025-09-16,2025-09-22, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250923"
End Date:,="20250929"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-09-23,2025-09-29,Account Level Statements,APP,1. less than 5 secs,569,9%,4,5,5,
2025-09-23,2025-09-29,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-09-23,2025-09-29,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-09-23,2025-09-29,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-09-23,2025-09-29,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-09-23,2025-09-29,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-09-23,2025-09-29,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-09-23,2025-09-29,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-09-23,2025-09-29,Account Level Statements,APP,9. Over a minute,10,78%,91,134,168,
2025-09-23,2025-09-29,Account Level Statements,Optima,9. Over a minute,20,0%,98,98,98,
2025-09-23,2025-09-29, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20250930"
End Date:,="20251006"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-09-30,2025-10-06,Account Level Statements,APP,1. less than 5 secs,446,9%,4,5,5,
2025-09-30,2025-10-06,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-09-30,2025-10-06,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-09-30,2025-10-06,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-09-30,2025-10-06,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-09-30,2025-10-06,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-09-30,2025-10-06,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-09-30,2025-10-06,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-09-30,2025-10-06,Account Level Statements,APP,9. Over a minute,28,78%,91,134,168,
2025-09-30,2025-10-06,Account Level Statements,Optima,9. Over a minute,29,0%,98,98,98,
2025-09-30,2025-10-06, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251007"
End Date:,="20251013"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-10-07,2025-10-13,Account Level Statements,APP,1. less than 5 secs,453,9%,4,5,5,
2025-10-07,2025-10-13,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-10-07,2025-10-13,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-10-07,2025-10-13,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-10-07,2025-10-13,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-10-07,2025-10-13,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-10-07,2025-10-13,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-10-07,2025-10-13,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-10-07,2025-10-13,Account Level Statements,APP,9. Over a minute,12,78%,91,134,168,
2025-10-07,2025-10-13,Account Level Statements,Optima,9. Over a minute,28,0%,98,98,98,
2025-10-07,2025-10-13, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251014"
End Date:,="20251020"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-10-14,2025-10-20,Account Level Statements,APP,1. less than 5 secs,402,9%,4,5,5,
2025-10-14,2025-10-20,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-10-14,2025-10-20,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-10-14,2025-10-20,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-10-14,2025-10-20,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-10-14,2025-10-20,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-10-14,2025-10-20,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-10-14,2025-10-20,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-10-14,2025-10-20,Account Level Statements,APP,9. Over a minute,24,78%,91,134,168,
2025-10-14,2025-10-20,Account Level Statements,Optima,9. Over a minute,19,0%,98,98,98,
2025-10-14,2025-10-20, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251021"
End Date:,="20251027"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-10-21,2025-10-27,Account Level Statements,APP,1. less than 5 secs,420,9%,4,5,5,
2025-10-21,2025-10-27,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-10-21,2025-10-27,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-10-21,2025-10-27,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-10-21,2025-10-27,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-10-21,2025-10-27,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-10-21,2025-10-27,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-10-21,2025-10-27,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-10-21,2025-10-27,Account Level Statements,APP,9. Over a minute,22,78%,91,134,168,
2025-10-21,2025-10-27,Account Level Statements,Optima,9. Over a minute,18,0%,98,98,98,
2025-10-21,2025-10-27, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251028"
End Date:,="20251104"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-10-28,2025-11-04,Account Level Statements,APP,1. less than 5 secs,504,9%,4,5,5,
2025-10-28,2025-11-04,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-10-28,2025-11-04,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-10-28,2025-11-04,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-10-28,2025-11-04,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-10-28,2025-11-04,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-10-28,2025-11-04,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-10-28,2025-11-04,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-10-28,2025-11-04,Account Level Statements,APP,9. Over a minute,21,78%,91,134,168,
2025-10-28,2025-11-04,Account Level Statements,Optima,9. Over a minute,23,0%,98,98,98,
2025-10-28,2025-11-04, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251105"
End Date:,="20251111"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-11-05,2025-11-11,Account Level Statements,APP,1. less than 5 secs,449,9%,4,5,5,
2025-11-05,2025-11-11,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-11-05,2025-11-11,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-11-05,2025-11-11,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-11-05,2025-11-11,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-11-05,2025-11-11,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-11-05,2025-11-11,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-11-05,2025-11-11,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-11-05,2025-11-11,Account Level Statements,APP,9. Over a minute,15,78%,91,134,168,
2025-11-05,2025-11-11,Account Level Statements,Optima,9. Over a minute,26,0%,98,98,98,
2025-11-05,2025-11-11, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251112"
End Date:,="20251118"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-11-12,2025-11-18,Account Level Statements,APP,1. less than 5 secs,597,9%,4,5,5,
2025-11-12,2025-11-18,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-11-12,2025-11-18,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-11-12,2025-11-18,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-11-12,2025-11-18,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
